uri,relation,start,end,weight,sources,dataset,license
"/a/[/r/RelatedTo/,/c/en/dog,/c/en/animal/]",RelatedTo,/c/en/dog,/c/en/animal,3.0,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/RelatedTo/,/c/en/cat,/c/en/pet/]",RelatedTo,/c/en/cat,/c/en/pet,2.8,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/RelatedTo/,/c/en/run,/c/en/fast/]",RelatedTo,/c/en/run,/c/en/fast,2.5,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/AtLocation/,/c/en/car,/c/en/road/]",AtLocation,/c/en/car,/c/en/road,2.9,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/UsedFor/,/c/en/book,/c/en/reading/]",UsedFor,/c/en/book,/c/en/reading,3.2,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/UsedFor/,/c/en/water,/c/en/drinking/]",UsedFor,/c/en/water,/c/en/drinking,3.1,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/UsedFor/,/c/en/knife,/c/en/cutting/]",UsedFor,/c/en/knife,/c/en/cutting,3.0,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/CapableOf/,/c/en/bird,/c/en/flying/]",CapableOf,/c/en/bird,/c/en/flying,2.7,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/AtLocation/,/c/en/fish,/c/en/water/]",AtLocation,/c/en/fish,/c/en/water,2.9,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/RelatedTo/,/c/en/hot,/c/en/cold/]",RelatedTo,/c/en/hot,/c/en/cold,2.2,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/RelatedTo/,/c/en/big,/c/en/small/]",RelatedTo,/c/en/big,/c/en/small,2.3,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/RelatedTo/,/c/en/happy,/c/en/sad/]",RelatedTo,/c/en/happy,/c/en/sad,2.1,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/IsA/,/c/en/red,/c/en/color/]",IsA,/c/en/red,/c/en/color,3.3,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/IsA/,/c/en/apple,/c/en/fruit/]",IsA,/c/en/apple,/c/en/fruit,3.4,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
"/a/[/r/UsedFor/,/c/en/chair,/c/en/sitting/]",UsedFor,/c/en/chair,/c/en/sitting,3.0,"[""/s/site/en.wiktionary.org/""]",/d/conceptnet/4/en,cc:by/4.0
